epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.886,502.629,3.58156,1.26058,0,0,0,0,502.605,3.52537,1.26877,0.0700089,0.00333235,0.00333235
2,674.139,502.52,3.52488,1.20565,0,0,0,0,502.495,3.50989,1.23205,0.039349,0.00600578,0.00600578
3,995.225,502.472,3.51507,1.18625,0,0,0,0,502.462,3.49135,1.2209,0.00802907,0.00801921,0.00801921
4,1313.06,502.438,3.50346,1.16875,0,0,0,0,502.447,3.51727,1.22281,0.00703,0.00703,0.00703
5,1633.89,502.411,3.49404,1.1581,0,0,0,0,502.437,3.5705,1.2193,0.00604,0.00604,0.00604
6,1953.98,502.392,3.47965,1.14666,0,0,0,0,502.435,3.55776,1.21627,0.00505,0.00505,0.00505
7,2273.23,502.391,3.46885,1.13383,0,0,0,0,502.442,3.53414,1.2211,0.00406,0.00406,0.00406
8,2591.98,502.352,3.46142,1.1226,0,0,0,0,502.442,3.54583,1.22193,0.00307,0.00307,0.00307
9,2911.1,502.303,3.45654,1.10796,0,0,0,0,502.45,3.55037,1.22837,0.00208,0.00208,0.00208
10,3230.17,502.27,3.4527,1.09849,0,0,0,0,502.458,3.54791,1.23224,0.00109,0.00109,0.00109
1,717.71,502.629,3.58156,1.26058,0,0,0,0,502.605,3.52537,1.26877,0.0700089,0.00333235,0.00333235
2,1371.29,502.52,3.52488,1.20565,0,0,0,0,502.495,3.50989,1.23205,0.039349,0.00600578,0.00600578
3,2008.64,502.472,3.51507,1.18625,0,0,0,0,502.462,3.49135,1.2209,0.00802907,0.00801921,0.00801921
4,2640.42,502.438,3.50346,1.16875,0,0,0,0,502.447,3.51727,1.22281,0.00703,0.00703,0.00703
5,3270.79,502.411,3.49404,1.1581,0,0,0,0,502.437,3.5705,1.2193,0.00604,0.00604,0.00604
6,3901.41,502.392,3.47965,1.14666,0,0,0,0,502.435,3.55776,1.21627,0.00505,0.00505,0.00505
7,4391.16,502.391,3.46885,1.13383,0,0,0,0,502.442,3.53414,1.2211,0.00406,0.00406,0.00406
8,4724.08,502.352,3.46142,1.1226,0,0,0,0,502.442,3.54583,1.22193,0.00307,0.00307,0.00307
9,5059.01,502.303,3.45654,1.10796,0,0,0,0,502.45,3.55037,1.22837,0.00208,0.00208,0.00208
10,5391.09,502.27,3.4527,1.09849,0,0,0,0,502.458,3.54791,1.23224,0.00109,0.00109,0.00109
